dr0,0.00141421
r0,0.05
R,2
R/r0,40
Nr,20
Ntheta,222.144
Nboundary,223
Nfluid,4460
Nparticles,4683
Apolar,0.311157
Bpolar,0.00387451

ID,r,theta,x,y,Type
175,0.05,4.94975,0.0117568,-0.0485981,boundary
176,0.05,4.97803,0.0131265,-0.0482462,boundary
177,0.05,5.00632,0.0144857,-0.0478557,boundary
178,0.05,5.0346,0.0158332,-0.0474269,boundary
179,0.05,5.06288,0.0171682,-0.0469601,boundary
180,0.05,5.09117,0.0184894,-0.0464558,boundary
181,0.05,5.11945,0.0197958,-0.0459144,boundary
182,0.05,5.14774,0.0210863,-0.0453362,boundary
183,0.05,5.17602,0.02236,-0.0447217,boundary
184,0.05,5.20431,0.0236158,-0.0440715,boundary
185,0.05,5.23259,0.0248527,-0.043386,boundary
186,0.05,5.26087,0.0260698,-0.0426658,boundary
187,0.05,5.28916,0.027266,-0.0419114,boundary
188,0.05,5.31744,0.0284403,-0.0411236,boundary
189,0.05,5.34573,0.0295919,-0.0403028,boundary
190,0.05,5.37401,0.0307199,-0.0394498,boundary
191,0.05,5.4023,0.0318233,-0.0385653,boundary
192,0.05,5.43058,0.0329012,-0.0376499,boundary
193,0.05,5.45886,0.0339528,-0.0367043,boundary
194,0.05,5.48715,0.0349772,-0.0357295,boundary
195,0.05,5.51543,0.0359737,-0.034726,boundary
196,0.05,5.54372,0.0369414,-0.0336948,boundary
197,0.05,5.572,0.0378795,-0.0326366,boundary
198,0.05,5.60029,0.0387873,-0.0315523,boundary
199,0.05,5.62857,0.0396641,-0.0304427,boundary
200,0.05,5.65685,0.0405092,-0.0293088,boundary
201,0.05,5.68514,0.0413218,-0.0281515,boundary
202,0.05,5.71342,0.0421015,-0.0269716,boundary
203,0.05,5.74171,0.0428474,-0.0257702,boundary
204,0.05,5.76999,0.043559,-0.0245481,boundary
205,0.05,5.79828,0.0442359,-0.0233064,boundary
206,0.05,5.82656,0.0448773,-0.0220461,boundary
207,0.05,5.85484,0.0454828,-0.0207681,boundary
208,0.05,5.88313,0.0460519,-0.0194735,boundary
209,0.05,5.91141,0.0465842,-0.0181634,boundary
210,0.05,5.9397,0.0470793,-0.0168387,boundary
211,0.05,5.96798,0.0475367,-0.0155005,boundary
212,0.05,5.99627,0.047956,-0.01415,boundary
213,0.05,6.02455,0.048337,-0.0127881,boundary
214,0.05,6.05283,0.0486793,-0.011416,boundary
215,0.05,6.08112,0.0489827,-0.0100347,boundary
216,0.05,6.1094,0.0492469,-0.00864547,boundary
217,0.05,6.13769,0.0494717,-0.00724928,boundary
218,0.05,6.16597,0.0496569,-0.0058473,boundary
219,0.05,6.19426,0.0498024,-0.00444064,boundary
220,0.05,6.22254,0.0499081,-0.00303042,boundary
221,0.05,6.25082,0.0499738,-0.00161779,boundary
222,0.05,6.27911,0.0499996,-0.000203854,boundary
223,0.0514142,0,0.0514142,0,fluid
224,0.0514142,0.0282843,0.0513936,0.00145402,fluid
225,0.0514142,0.0565685,0.051332,0.00290688,fluid
226,0.0514142,0.0848528,0.0512292,0.00435741,fluid
227,0.0514142,0.113137,0.0510855,0.00580445,fluid
228,0.0514142,0.141421,0.0509009,0.00724686,fluid
229,0.0514142,0.169706,0.0506756,0.00868346,fluid
230,0.0514142,0.19799,0.0504098,0.0101131,fluid
