time,ID,r,z,u_r,u_z,rho,pressure,pairAr,pairAz,totalAr,totalAz
0.98,858,1.91456,7.17478,0.195743,-7.44971,1000.4,4732.84,-2.24036,7.60224,0.230679,-2.20776
0.99,858,1.91654,7.1002,0.201059,-7.46385,1000.43,5051.29,-1.97553,8.15343,0.658972,-1.65657
1,858,1.91859,7.02551,0.211682,-7.4702,1000.48,5615.98,-1.75318,9.01172,1.17256,-0.798281
1.01,858,1.92078,6.9508,0.225568,-7.46713,1000.52,6158.99,-1.97199,9.80959,1.23285,-0.000411636
1.02,858,1.9231,6.87617,0.237865,-7.45768,1000.54,6339.91,-2.41062,10.121,0.884325,0.311018
1.03,858,1.92552,6.80163,0.246806,-7.44832,1000.52,6077.15,-2.53098,9.82857,0.623507,0.0185701
1.04,858,1.92802,6.72716,0.254897,-7.4441,1000.48,5646.86,-2.22047,9.28214,0.706959,-0.527859
1.05,858,1.93062,6.6527,0.264716,-7.44483,1000.46,5448.78,-1.91156,8.99109,0.909438,-0.818915
1.06,858,1.93332,6.57824,0.275982,-7.44559,1000.48,5660.09,-1.96668,9.28983,0.959576,-0.520174
1.07,858,1.93613,6.50379,0.287202,-7.43936,1000.53,6261.12,-2.32824,10.2527,0.903869,0.442656
1.08,858,1.93906,6.42947,0.298507,-7.41979,1000.61,7186.55,-2.73891,11.6831,0.965046,1.8731
1.09,858,1.9421,6.35542,0.311565,-7.38432,1000.69,8094.8,-2.97511,13.0572,1.19009,3.24723
1.1,858,1.94529,6.28179,0.327151,-7.33731,1000.72,8437.26,-2.9346,13.7426,1.39958,3.93255
1.11,858,1.94864,6.20865,0.344185,-7.28778,1000.69,8190.37,-2.75094,13.6282,1.44926,3.81816
1.12,858,1.95216,6.13599,0.361127,-7.2416,1000.67,7912.32,-2.67866,13.2372,1.37172,3.42725
1.13,858,1.95585,6.06377,0.37719,-7.19888,1000.66,7792.86,-2.7329,12.9322,1.24885,3.12219
1.14,858,1.95969,5.99197,0.39202,-7.15902,1000.64,7558.67,-2.74832,12.6599,1.10628,2.84993
1.15,858,1.96368,5.92055,0.405725,-7.12123,1000.63,7434.31,-2.74297,12.6517,1.04056,2.84173
1.16,858,1.9678,5.84952,0.420062,-7.07976,1000.67,7923.91,-2.80363,13.3339,1.22045,3.52386
1.17,858,1.97208,5.77895,0.437375,-7.02799,1000.73,8622.38,-2.83356,14.2932,1.53547,4.48324
1.18,858,1.97654,5.70894,0.457024,-6.96918,1000.73,8600.98,-2.75063,14.4504,1.59773,4.64044
1.19,858,1.9812,5.63951,0.475502,-6.91484,1000.67,7887.06,-2.65185,13.6351,1.32644,3.82506
1.2,858,1.98603,5.57058,0.49117,-6.86966,1000.63,7451.01,-2.64695,13.0158,1.10239,3.20577
1.21,858,1.99101,5.50208,0.506397,-6.82455,1000.67,7895.9,-2.73569,13.6174,1.22742,3.80744
1.22,858,1.99616,5.43409,0.524519,-6.76655,1000.75,8868.36,-2.85356,15.1311,1.58581,5.32106
1.23,858,2.0015,5.36676,0.546259,-6.69215,1000.81,9574.45,-2.93635,16.3938,1.8434,6.58377
1.24,858,2.00707,5.30023,0.569402,-6.60936,1000.81,9559.42,-2.93291,16.6387,1.8261,6.82867
1.25,858,2.01287,5.23452,0.591622,-6.52878,1000.77,9097.37,-2.832,16.1163,1.68411,6.3063
1.26,858,2.01889,5.16958,0.612833,-6.45439,1000.74,8750.59,-2.69898,15.5706,1.63217,5.76055
