tU_D,y_D,v_U,Cd,Cl,inlet_U_fraction,rho_min,rho_max
56.25,-0.1638492864105415,-0.21750686577621753,2.7762430095570765,-1.4603508236181604,1.0,1.0437596631986914,1.0578969509575442
56.300000000000004,-0.17450485806820334,-0.20860524765379754,2.7678165598720095,-1.5125423579042032,1.0,1.0437323720172897,1.0579026193879721
56.35,-0.18469900461797456,-0.19905486467958636,2.7552586601069824,-1.562375464602428,1.0,1.043788164327561,1.0579316948790574
56.400000000000006,-0.19440001026156856,-0.1888839514635191,2.738219754789517,-1.6078277620057557,1.0,1.0439035605015976,1.0579680642114717
56.45,-0.20357746254327805,-0.17811652564593536,2.7206039103366395,-1.6471996050239932,1.0,1.044027363619216,1.058005838664173
56.5,-0.2122021162449689,-0.166776253310109,2.706505685923544,-1.680657430119446,1.0,1.0441335515146566,1.0580521561673417
56.550000000000004,-0.22024601280839823,-0.1548915001009734,2.6963892551048905,-1.7094328787289372,1.0,1.044190605820344,1.0581099727381618
56.6,-0.2276827677884742,-0.14249682571093714,2.685847854076587,-1.7346881414410078,1.0,1.0442465434237385,1.0581657275879794
56.650000000000006,-0.23448784400369338,-0.1296308710419682,2.6699613585424626,-1.7563019011745038,1.0,1.0443253984156473,1.0582055306032694
56.7,-0.2406386300471342,-0.11633116020368342,2.6479481973111856,-1.7726448343067378,1.0,1.0444226300950983,1.058227261559574
56.75,-0.24611429985042912,-0.10263176333171073,2.623170861246381,-1.7825279705552914,1.0,1.0445290086078949,1.0582355558433063
56.800000000000004,-0.2508957173063861,-0.08856720501002673,2.5983803249041766,-1.786673518118485,1.0,1.0446373023532523,1.0582292788029293
56.85,-0.2549656070809047,-0.07417806532990612,2.5731660975999633,-1.787009005347245,1.0,1.044733265741758,1.058204830487505
56.900000000000006,-0.2583088846304865,-0.05951048303933776,2.546802563227601,-1.7837553948595188,1.0,1.044808872851133,1.0581673561029443
56.95,-0.26091275520549384,-0.04460878863879533,2.519802003867128,-1.7752379341785665,1.0,1.044885415954732,1.0581267642078611
57.0,-0.26276655018993983,-0.029514538513703645,2.4936766933849515,-1.7614499668874788,1.0,1.0449667245990109,1.0581064340238295
57.050000000000004,-0.26386176091730495,-0.014273789976203042,2.4694105869354273,-1.7446160644828286,1.0,1.0450582690766306,1.0581001083668504
