dr0,0.000447214
r0,0.005
R,0.2
R/r0,40
Nr,20
Ntheta,70.2481
Nboundary,71
Nfluid,1420
Nparticles,1491
Apolar,0.238789
Bpolar,0.00165812

ID,r,theta,x,y,Type
208,0.00601505,5.90322,0.00558604,-0.00223091,fluid
209,0.00601505,5.99266,0.00576298,-0.00172303,fluid
210,0.00601505,6.0821,0.00589385,-0.00120137,fluid
211,0.00601505,6.17155,0.0059776,-0.000670112,fluid
212,0.00601505,6.26099,0.00601356,-0.000133493,fluid
213,0.00673603,0,0.00673603,0,fluid
214,0.00673603,0.0894427,0.0067091,0.000601686,fluid
215,0.00673603,0.178885,0.00662854,0.00119856,fluid
216,0.00673603,0.268328,0.00649498,0.00178585,fluid
217,0.00673603,0.357771,0.0063095,0.00235887,fluid
218,0.00673603,0.447214,0.00607358,0.00291303,fluid
219,0.00673603,0.536656,0.0057891,0.0034439,fluid
220,0.00673603,0.626099,0.00545834,0.00394723,fluid
221,0.00673603,0.715542,0.00508394,0.00441901,fluid
222,0.00673603,0.804984,0.00466889,0.00485546,fluid
223,0.00673603,0.894427,0.00421652,0.0052531,fluid
224,0.00673603,0.98387,0.00373044,0.00560873,fluid
225,0.00673603,1.07331,0.00321454,0.00591953,fluid
226,0.00673603,1.16276,0.00267294,0.006183,fluid
227,0.00673603,1.2522,0.00210996,0.00639704,fluid
228,0.00673603,1.34164,0.00153012,0.00655994,fluid
229,0.00673603,1.43108,0.000938051,0.00667039,fluid
230,0.00673603,1.52053,0.000338478,0.00672752,fluid
231,0.00673603,1.60997,-0.0002638,0.00673086,fluid
232,0.00673603,1.69941,-0.00086397,0.00668039,fluid
233,0.00673603,1.78885,-0.00145723,0.00657651,fluid
234,0.00673603,1.8783,-0.00203884,0.00642006,fluid
235,0.00673603,1.96774,-0.00260416,0.00621228,fluid
236,0.00673603,2.05718,-0.00314865,0.00595484,fluid
237,0.00673603,2.14663,-0.00366797,0.00564978,fluid
238,0.00673603,2.23607,-0.00415797,0.00529956,fluid
239,0.00673603,2.32551,-0.00461472,0.00490698,fluid
240,0.00673603,2.41495,-0.00503458,0.00447516,fluid
241,0.00673603,2.5044,-0.0054142,0.00400756,fluid
242,0.00673603,2.59384,-0.00575052,0.00350793,fluid
243,0.00673603,2.68328,-0.00604088,0.00298025,fluid
244,0.00673603,2.77272,-0.00628294,0.00242874,fluid
245,0.00673603,2.86217,-0.00647476,0.00185782,fluid
246,0.00673603,2.95161,-0.00661483,0.00127205,fluid
247,0.00673603,3.04105,-0.00670201,0.000676101,fluid
248,0.00673603,3.1305,-0.00673561,7.47514e-05,fluid
249,0.00673603,3.21994,-0.00671537,-0.000527196,fluid
250,0.00673603,3.30938,-0.00664143,-0.00112493,fluid
251,0.00673603,3.39882,-0.0065144,-0.00171367,fluid
252,0.00673603,3.48827,-0.00633529,-0.00228871,fluid
253,0.00673603,3.57771,-0.00610553,-0.00284545,fluid
