dr0,0.00141421
r0,0.005
R,0.1
R/r0,20
Nr,20
Ntheta,22.2144
Nboundary,23
Nfluid,460
Nparticles,483
Apolar,0.107899
Bpolar,0.0124125

ID,r,theta,x,y,Type
151,0.0163022,3.67696,-0.0140213,-0.00831662,fluid
152,0.0163022,3.9598,-0.0111431,-0.0118993,fluid
153,0.0163022,4.24264,-0.00737938,-0.0145364,fluid
154,0.0163022,4.52548,-0.00302926,-0.0160183,fluid
155,0.0163022,4.80833,0.00156159,-0.0162272,fluid
156,0.0163022,5.09117,0.00602834,-0.0151466,fluid
157,0.0163022,5.37401,0.010016,-0.0128624,fluid
158,0.0163022,5.65685,0.0132078,-0.00955596,fluid
159,0.0163022,5.9397,0.0153499,-0.00549015,fluid
160,0.0163022,6.22254,0.0162722,-0.000988051,fluid
161,0.0190041,0,0.0190041,0,fluid
162,0.0190041,0.282843,0.018249,0.0053038,fluid
163,0.0190041,0.565685,0.0160437,0.0101861,fluid
164,0.0190041,0.848528,0.0125634,0.014259,fluid
165,0.0190041,1.13137,0.00808473,0.0171987,fluid
166,0.0190041,1.41421,0.00296357,0.0187716,fluid
167,0.0190041,1.69706,-0.00239309,0.0188529,fluid
168,0.0190041,1.9799,-0.00755958,0.0174359,fluid
169,0.0190041,2.26274,-0.0121253,0.0146333,fluid
170,0.0190041,2.54558,-0.0157275,0.0106678,fluid
171,0.0190041,2.82843,-0.0180798,0.00585464,fluid
172,0.0190041,3.11127,-0.0189954,0.00057617,fluid
173,0.0190041,3.39411,-0.0184014,-0.00474808,fluid
174,0.0190041,3.67696,-0.0163451,-0.00969501,fluid
175,0.0190041,3.9598,-0.0129899,-0.0138715,fluid
176,0.0190041,4.24264,-0.00860245,-0.0169456,fluid
177,0.0190041,4.52548,-0.00353133,-0.0186732,fluid
178,0.0190041,4.80833,0.00182041,-0.0189167,fluid
179,0.0190041,5.09117,0.00702748,-0.0176571,fluid
180,0.0190041,5.37401,0.0116761,-0.0149942,fluid
181,0.0190041,5.65685,0.0153968,-0.0111398,fluid
182,0.0190041,5.9397,0.017894,-0.00640009,fluid
183,0.0190041,6.22254,0.0189692,-0.00115181,fluid
184,0.0220139,0,0.0220139,0,fluid
185,0.0220139,0.282843,0.0211392,0.00614378,fluid
186,0.0220139,0.565685,0.0185846,0.0117993,fluid
187,0.0220139,0.848528,0.0145531,0.0165172,fluid
188,0.0220139,1.13137,0.00936515,0.0199225,fluid
189,0.0220139,1.41421,0.00343293,0.0217446,fluid
190,0.0220139,1.69706,-0.0027721,0.0218387,fluid
191,0.0220139,1.9799,-0.00875683,0.0201973,fluid
192,0.0220139,2.26274,-0.0140457,0.0169508,fluid
193,0.0220139,2.54558,-0.0182183,0.0123574,fluid
194,0.0220139,2.82843,-0.0209432,0.00678186,fluid
195,0.0220139,3.11127,-0.0220038,0.000667421,fluid
196,0.0220139,3.39411,-0.0213158,-0.00550006,fluid
197,0.0220139,3.67696,-0.0189338,-0.0112305,fluid
