dr0,0.000447214
r0,0.005
R,0.2
R/r0,40
Nr,60
Ntheta,70
Nboundary,70
Nfluid,4200
Nparticles,4270
Apolar,0.0536778
Bpolar,0.00810983

L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.0943825,0.0899719,0.083827,10.9521,11.4058,12.4217

ID,r,theta,x,y,Type,,PGauss,PCubic,PWed,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
84,0.00544721,1.25664,0.00168328,0.00518061,fluid,,0.856918,0.894085,0.923042,,160.627,494.358,,159.924,492.195,,156.574,481.887,,-85.2108,-87.7629,-86.4839,
85,0.00544721,1.3464,0.00121212,0.00531064,fluid,,0.856918,0.894085,0.923042,,115.666,506.766,,115.16,504.549,,112.748,493.982,,-86.1791,-88.619,-87.2564,
86,0.00544721,1.43616,0.000731197,0.00539792,fluid,,0.856918,0.894085,0.923042,,69.7743,515.094,,69.469,512.841,,68.0141,502.1,,-86.8425,-89.2054,-87.7856,
87,0.00544721,1.52592,0.000244388,0.00544173,fluid,,0.856918,0.894085,0.923042,,23.3207,519.275,,23.2186,517.003,,22.7324,506.176,,-87.1796,-89.5034,-88.0545,
88,0.00544721,1.61568,-0.000244388,0.00544173,fluid,,0.856918,0.894085,0.923042,,-23.3207,519.275,,-23.2186,517.003,,-22.7324,506.176,,-87.1796,-89.5034,-88.0545,
89,0.00544721,1.70544,-0.000731197,0.00539792,fluid,,0.856918,0.894085,0.923042,,-69.7743,515.094,,-69.469,512.841,,-68.0141,502.1,,-86.8425,-89.2054,-87.7856,
90,0.00544721,1.7952,-0.00121212,0.00531064,fluid,,0.856918,0.894085,0.923042,,-115.666,506.766,,-115.16,504.549,,-112.748,493.982,,-86.1791,-88.619,-87.2564,
91,0.00544721,1.88496,-0.00168328,0.00518061,fluid,,0.856918,0.894085,0.923042,,-160.627,494.358,,-159.924,492.195,,-156.574,481.887,,-85.2108,-87.7629,-86.4839,
92,0.00544721,1.97472,-0.00214089,0.00500886,fluid,,0.856918,0.894085,0.923042,,-204.294,477.969,,-203.4,475.878,,-199.14,465.912,,-83.9688,-86.6648,-85.493,
93,0.00544721,2.06448,-0.00258126,0.00479679,fluid,,0.856918,0.894085,0.923042,,-246.316,457.732,,-245.239,455.73,,-240.102,446.185,,-82.4928,-85.3598,-84.3154,
94,0.00544721,2.15423,-0.00300085,0.0045461,fluid,,0.856918,0.894085,0.923042,,-286.355,433.81,,-285.103,431.912,,-279.132,422.866,,-80.8303,-83.8901,-82.9892,
95,0.00544721,2.24399,-0.00339628,0.0042588,fluid,,0.856918,0.894085,0.923042,,-324.089,406.395,,-322.671,404.617,,-315.913,396.143,,-79.0349,-82.3027,-81.5568,
96,0.00544721,2.33375,-0.00376437,0.00393722,fluid,,0.856918,0.894085,0.923042,,-359.213,375.708,,-357.642,374.064,,-350.152,366.23,,-77.1641,-80.6487,-80.0643,
97,0.00544721,2.42351,-0.00410214,0.00358393,fluid,,0.856918,0.894085,0.923042,,-391.445,341.996,,-389.733,340.499,,-381.571,333.368,,-75.2782,-78.9813,-78.5597,
98,0.00544721,2.51327,-0.00440689,0.00320179,fluid,,0.856918,0.894085,0.923042,,-420.526,305.53,,-418.686,304.193,,-409.917,297.822,,-73.4377,-77.3541,-77.0914,
99,0.00544721,2.60303,-0.00467615,0.00279387,fluid,,0.856918,0.894085,0.923042,,-446.22,266.604,,-444.268,265.438,,-434.964,259.879,,-71.7017,-75.8194,-75.7065,
100,0.00544721,2.69279,-0.00490777,0.00236346,fluid,,0.856918,0.894085,0.923042,,-468.322,225.532,,-466.273,224.545,,-456.508,219.843,,-70.1262,-74.4264,-74.4495,
