h/dp :,2
L2norm Pressure,KE,dr0,Nfluid
9.63876e-11,16.6797,0.0141421,660

t,0
ID,x,y,,rho,drhodt,pressure,,u,v,velocity,,dudt,dvdt,vorticity,type
92,0.0461163,0.100981,,999.999,11.6656,-1.53421,,0.113284,-0.0153311,0.114317,,0.0132442,0.0346466,-0.0419437,fluid
93,0.0157987,0.109883,,999.999,3.98656,-2.15219,,0.119464,-0.00571522,0.119601,,0.00237378,0.0359532,-0.0456413,fluid
94,-0.0157987,0.109883,,999.999,-4.02185,-2.15219,,0.119464,0.00571522,0.119601,,-0.00222638,0.0341993,-0.0456413,fluid
95,-0.0461163,0.100981,,999.999,-11.7118,-1.53421,,0.113284,0.0153311,0.114317,,-0.0112004,0.0299419,-0.0419437,fluid
96,-0.0726977,0.0838977,,1000,-18.4594,-0.49446,,0.102887,0.0200795,0.104828,,-0.0164181,0.0206995,-0.0348481,fluid
97,-0.0933897,0.0600179,,1000,-23.7159,0.63695,,0.0915729,0.0184528,0.0934136,,-0.0173414,0.0138338,-0.0249293,fluid
98,-0.106516,0.0312758,,1000,-27.0523,1.50081,,0.0829343,0.0109674,0.0836564,,-0.0172566,0.00665925,-0.0129909,fluid
99,-0.111013,1.35951e-17,,1000,-28.1957,1.82284,,0.079714,4.96863e-18,0.079714,,-0.0154848,-4.40475e-14,3.14419e-18,fluid
100,-0.106516,-0.0312758,,1000,-27.0523,1.50081,,0.0829343,-0.0109674,0.0836564,,-0.0172566,-0.00665925,0.0129909,fluid
101,-0.0933897,-0.0600179,,1000,-23.7159,0.63695,,0.0915729,-0.0184528,0.0934136,,-0.0173414,-0.0138338,0.0249293,fluid
102,-0.0726977,-0.0838977,,1000,-18.4594,-0.49446,,0.102887,-0.0200795,0.104828,,-0.0164181,-0.0206995,0.0348481,fluid
103,-0.0461163,-0.100981,,999.999,-11.7118,-1.53421,,0.113284,-0.0153311,0.114317,,-0.0112004,-0.0299419,0.0419437,fluid
104,-0.0157987,-0.109883,,999.999,-4.02185,-2.15219,,0.119464,-0.00571522,0.119601,,-0.00222638,-0.0341993,0.0456413,fluid
