dr0,0.0141421
r0,0.05
R,1
R/r0,20
Nr,30
Ntheta,22
Nboundary,22
Nfluid,660
Nparticles,858
Apolar,0.0494007
Bpolar,0.279261

L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.0415238,0.0350017,0.0360551,308.095,406.526,457.275

ID,r,theta,x,y,Type,,PGauss,PCubic,PWed,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
31,0.0641421,2.57039,-0.0539598,0.0346779,fluid,,0.79715,0.819731,0.831141,,-9.63683,6.19321,,-11.1917,7.19245,,-11.4773,7.37603,,1436.03,2055.84,2460.96
32,0.0641421,2.85599,-0.0615439,0.0180709,fluid,,0.79715,0.819731,0.831141,,-10.9913,3.22734,,-12.7647,3.74805,,-13.0905,3.84371,,1637.87,2344.79,2806.86
33,0.0641421,3.14159,-0.0641421,7.85515e-18,fluid,,0.79715,0.819731,0.831141,,-11.4553,2.62603e-15,,-13.3036,3.49808e-15,,-13.6431,1.05477e-15,,1707.02,2443.78,2925.35
34,0.0641421,3.42719,-0.0615439,-0.0180709,fluid,,0.79715,0.819731,0.831141,,-10.9913,-3.22734,,-12.7647,-3.74805,,-13.0905,-3.84371,,1637.87,2344.79,2806.86
35,0.0641421,3.71279,-0.0539598,-0.0346779,fluid,,0.79715,0.819731,0.831141,,-9.63683,-6.19321,,-11.1917,-7.19245,,-11.4773,-7.37603,,1436.03,2055.84,2460.96
36,0.0641421,3.99839,-0.0420042,-0.0484754,fluid,,0.79715,0.819731,0.831141,,-7.50164,-8.65735,,-8.71199,-10.0542,,-8.93434,-10.3108,,1117.86,1600.33,1915.7
37,0.0641421,4.28399,-0.0266456,-0.0583457,fluid,,0.79715,0.819731,0.831141,,-4.75871,-10.4201,,-5.5265,-12.1014,,-5.66756,-12.4102,,709.121,1015.18,1215.24
38,0.0641421,4.56959,-0.00912838,-0.0634893,fluid,,0.79715,0.819731,0.831141,,-1.63026,-11.3387,,-1.8933,-13.1682,,-1.94162,-13.5043,,242.934,347.786,416.321
39,0.0641421,4.85519,0.00912838,-0.0634893,fluid,,0.79715,0.819731,0.831141,,1.63026,-11.3387,,1.8933,-13.1682,,1.94162,-13.5043,,-242.934,-347.786,-416.321
40,0.0641421,5.14079,0.0266456,-0.0583457,fluid,,0.79715,0.819731,0.831141,,4.75871,-10.4201,,5.5265,-12.1014,,5.66756,-12.4102,,-709.121,-1015.18,-1215.24
41,0.0641421,5.42639,0.0420042,-0.0484754,fluid,,0.79715,0.819731,0.831141,,7.50164,-8.65735,,8.71199,-10.0542,,8.93434,-10.3108,,-1117.86,-1600.33,-1915.7
42,0.0641421,5.71199,0.0539598,-0.0346779,fluid,,0.79715,0.819731,0.831141,,9.63683,-6.19321,,11.1917,-7.19245,,11.4773,-7.37603,,-1436.03,-2055.84,-2460.96
43,0.0641421,5.99759,0.0615439,-0.0180709,fluid,,0.79715,0.819731,0.831141,,10.9913,-3.22734,,12.7647,-3.74805,,13.0905,-3.84371,,-1637.87,-2344.79,-2806.86
44,0.0790004,0,0.0790004,0,fluid,,0.907434,0.937653,0.947837,,6.03755,-2.81071e-15,,5.97109,-1.43056e-15,,5.63955,-8.87986e-16,,-1244.16,-1646.96,-1686.36
45,0.0790004,0.285599,0.0758004,0.022257,fluid,,0.907434,0.937653,0.947837,,5.79298,1.70097,,5.72922,1.68225,,5.41111,1.58885,,-1193.76,-1580.25,-1618.05
46,0.0790004,0.571199,0.0664594,0.0427109,fluid,,0.907434,0.937653,0.947837,,5.07911,3.26414,,5.0232,3.22822,,4.74429,3.04897,,-1046.66,-1385.51,-1418.66
47,0.0790004,0.856798,0.0517343,0.0597046,fluid,,0.907434,0.937653,0.947837,,3.95375,4.56287,,3.91023,4.51265,,3.69312,4.26209,,-814.753,-1078.53,-1104.33
48,0.0790004,1.1424,0.032818,0.0718613,fluid,,0.907434,0.937653,0.947837,,2.50809,5.49194,,2.48048,5.4315,,2.34276,5.12992,,-516.844,-684.173,-700.539
49,0.0790004,1.428,0.0112429,0.0781963,fluid,,0.907434,0.937653,0.947837,,0.859232,5.97609,,0.849775,5.91032,,0.802592,5.58215,,-177.063,-234.387,-239.994
50,0.0790004,1.7136,-0.0112429,0.0781963,fluid,,0.907434,0.937653,0.947837,,-0.859232,5.97609,,-0.849775,5.91032,,-0.802592,5.58215,,177.063,234.387,239.994
51,0.0790004,1.9992,-0.032818,0.0718613,fluid,,0.907434,0.937653,0.947837,,-2.50809,5.49194,,-2.48048,5.4315,,-2.34276,5.12992,,516.844,684.173,700.539
52,0.0790004,2.28479,-0.0517343,0.0597046,fluid,,0.907434,0.937653,0.947837,,-3.95375,4.56287,,-3.91023,4.51265,,-3.69312,4.26209,,814.753,1078.53,1104.33
53,0.0790004,2.57039,-0.0664594,0.0427109,fluid,,0.907434,0.937653,0.947837,,-5.07911,3.26414,,-5.0232,3.22822,,-4.74429,3.04897,,1046.66,1385.51,1418.66
54,0.0790004,2.85599,-0.0758004,0.022257,fluid,,0.907434,0.937653,0.947837,,-5.79298,1.70097,,-5.72922,1.68225,,-5.41111,1.58885,,1193.76,1580.25,1618.05
55,0.0790004,3.14159,-0.0790004,9.67476e-18,fluid,,0.907434,0.937653,0.947837,,-6.03755,7.73609e-16,,-5.97109,-1.6502e-15,,-5.63955,-6.03402e-16,,1244.16,1646.96,1686.36
56,0.0790004,3.42719,-0.0758004,-0.022257,fluid,,0.907434,0.937653,0.947837,,-5.79298,-1.70097,,-5.72922,-1.68225,,-5.41111,-1.58885,,1193.76,1580.25,1618.05
57,0.0790004,3.71279,-0.0664594,-0.0427109,fluid,,0.907434,0.937653,0.947837,,-5.07911,-3.26414,,-5.0232,-3.22822,,-4.74429,-3.04897,,1046.66,1385.51,1418.66
58,0.0790004,3.99839,-0.0517343,-0.0597046,fluid,,0.907434,0.937653,0.947837,,-3.95375,-4.56287,,-3.91023,-4.51265,,-3.69312,-4.26209,,814.753,1078.53,1104.33
59,0.0790004,4.28399,-0.032818,-0.0718613,fluid,,0.907434,0.937653,0.947837,,-2.50809,-5.49194,,-2.48048,-5.4315,,-2.34276,-5.12992,,516.844,684.173,700.539
60,0.0790004,4.56959,-0.0112429,-0.0781963,fluid,,0.907434,0.937653,0.947837,,-0.859232,-5.97609,,-0.849775,-5.91032,,-0.802592,-5.58215,,177.063,234.387,239.994
61,0.0790004,4.85519,0.0112429,-0.0781963,fluid,,0.907434,0.937653,0.947837,,0.859232,-5.97609,,0.849775,-5.91032,,0.802592,-5.58215,,-177.063,-234.387,-239.994
62,0.0790004,5.14079,0.032818,-0.0718613,fluid,,0.907434,0.937653,0.947837,,2.50809,-5.49194,,2.48048,-5.4315,,2.34276,-5.12992,,-516.844,-684.173,-700.539
63,0.0790004,5.42639,0.0517343,-0.0597046,fluid,,0.907434,0.937653,0.947837,,3.95375,-4.56287,,3.91023,-4.51265,,3.69312,-4.26209,,-814.753,-1078.53,-1104.33
64,0.0790004,5.71199,0.0664594,-0.0427109,fluid,,0.907434,0.937653,0.947837,,5.07911,-3.26414,,5.0232,-3.22822,,4.74429,-3.04897,,-1046.66,-1385.51,-1418.66
