h/dp :,2
L2normdrhodt,dp,Nparticles
125.659,0.5,1088

t,0.39
x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
-1.25,1.25,,1002.74,-20.3093,10925.1,,0,0,,0,0
-1.25,1.75,,1002.58,-17.314,10270.4,,0,0,,0,0
-1.25,2.25,,1002.44,-16.9633,9728.39,,0,0,,0,0
-1.25,2.75,,1002.18,-15.0618,8681.83,,0,0,,0,0
-1.25,3.25,,1002.05,-12.1762,8128.38,,0,0,,0,0
-1.25,3.75,,1001.94,-9.46736,7707.88,,0,0,,0,0
-1.25,4.25,,1001.76,-6.77546,6988.89,,0,0,,0,0
-1.25,4.75,,1001.6,-5.19071,6311.56,,0,0,,0,0
-1.25,5.25,,1001.54,-3.34523,6103.89,,0,0,,0,0
-1.25,5.75,,1001.43,1.18411,5616.29,,0,0,,0,0
-1.25,6.25,,1000.78,0.0547748,3049.68,,0,0,,0,0
-1.25,6.75,,1000.45,-13.1135,1814.33,,0,0,,0,0
-1.25,7.25,,1001.7,-30.3519,6837.82,,0,0,,0,0
-1.25,7.75,,1003.28,-36.399,13146.7,,0,0,,0,0
-1.25,8.25,,1002.52,-23.4893,10068.4,,0,0,,0,0
-1.25,8.75,,1000.53,-5.8197,2110.81,,0,0,,0,0
-1.25,9.25,,1000,-0.00361716,0.168878,,0,0,,0,0
-1.25,9.75,,1000,0,0,,0,0,,0,0
25.25,0.25,,1031.65,-269.728,137927,,0,0,,0,0
25.25,0.75,,1019.69,-284.075,83224.2,,0,0,,0,0
25.25,1.25,,1028.63,-223.865,123513,,0,0,,0,0
25.25,1.75,,1026.74,-199.466,114640,,0,0,,0,0
25.25,2.25,,1024.27,-178.848,103285,,0,0,,0,0
25.25,2.75,,1023.3,-152.343,98742.3,,0,0,,0,0
25.25,3.25,,1021.33,-136.028,89867.4,,0,0,,0,0
25.25,3.75,,1020.17,-112.012,84592.3,,0,0,,0,0
25.25,4.25,,1018.38,-79.1136,76581.9,,0,0,,0,0
25.25,4.75,,1016.31,-63.8402,67481.2,,0,0,,0,0
25.25,5.25,,1015.2,-45.8394,62619.5,,0,0,,0,0
25.25,5.75,,1013.17,-8.9261,53805.1,,0,0,,0,0
25.25,6.25,,1008.55,-17.037,34495,,0,0,,0,0
25.25,6.75,,1005.71,-56.5004,23031.7,,0,0,,0,0
25.25,7.25,,1008.83,-47.7173,35778.9,,0,0,,0,0
25.25,7.75,,1018.59,-30.4314,77273.8,,0,0,,0,0
25.25,8.25,,1018.85,-27.7844,78417.7,,0,0,,0,0
25.25,8.75,,1008.97,-20.82,36229.3,,0,0,,0,0
25.25,9.25,,1001.56,-7.5692,6198,,0,0,,0,0
25.25,9.75,,1000,-0.0046723,0.541658,,0,0,,0,0
25.75,0.25,,1028.39,-135.41,121989,,0,0,,0,0
25.75,0.75,,1015.88,-138.947,65960.9,,0,0,,0,0
25.75,1.25,,1015.55,-119.592,64447.9,,0,0,,0,0
25.75,1.75,,1014.92,-104.903,61680.9,,0,0,,0,0
25.75,2.25,,1013.79,-96.8985,56836.1,,0,0,,0,0
25.75,2.75,,1013.12,-84.9959,53906.1,,0,0,,0,0
25.75,3.25,,1012.1,-72.9118,49566.9,,0,0,,0,0
25.75,3.75,,1011.48,-58.0714,46860.3,,0,0,,0,0
25.75,4.25,,1010.53,-42.3988,42820.9,,0,0,,0,0
25.75,4.75,,1009.5,-32.8505,38496.4,,0,0,,0,0
25.75,5.25,,1008.97,-20.4038,36252.7,,0,0,,0,0
25.75,5.75,,1007.61,-0.831313,30543.1,,0,0,,0,0
25.75,6.25,,1004.52,-8.78239,18009.4,,0,0,,0,0
25.75,6.75,,1003.15,-57.3156,12694.5,,0,0,,0,0
25.75,7.25,,1007.9,-111.39,32195.6,,0,0,,0,0
25.75,7.75,,1014.57,-127.814,60273.3,,0,0,,0,0
25.75,8.25,,1012.99,-89.3473,53377.7,,0,0,,0,0
25.75,8.75,,1005.09,-34.0721,20409.6,,0,0,,0,0
25.75,9.25,,1000.42,-3.66071,1645.79,,0,0,,0,0
25.75,9.75,,1000,0,0,,0,0,,0,0
26.25,0.25,,1008.33,-27.1413,33647.4,,0,0,,0,0
26.25,0.75,,1003.67,-25.4601,14650.9,,0,0,,0,0
