h/dr :,1.8
h/dz :,1.8
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.104177,0.0907378,0.0849207,14.7339,13.4588,12.9303

r,z,,PGauss,PCubic,PWedn,,dPGaussR,dPGaussZ,,dPCubicR,dPCubicZ,,dPWednR,dPWednZ,,drhodtGauss,drhodtCubic,drhodtWedn
0.1,2.5,,0.886922,0.937791,0.951902,,1.54676,-3.68724e-15,,1.34523,-6.66828e-15,,1.21297,-9.07868e-15,,-64.2101,-71.1663,-74.6207
0.1,2.6,,0.886922,0.937791,0.951902,,1.54676,-5.28643e-15,,1.34523,-8.71525e-15,,1.21297,-8.88178e-15,,-64.2101,-71.1663,-74.6207
0.1,2.7,,0.886922,0.937791,0.951902,,1.54676,-8.05658e-17,,1.34523,2.77556e-17,,1.21297,8.32667e-17,,-64.2101,-71.1663,-74.6207
0.1,2.8,,0.886922,0.937791,0.951902,,1.54676,5.30058e-15,,1.34523,8.61811e-15,,1.21297,8.79852e-15,,-64.2101,-71.1663,-74.6207
0.1,2.9,,0.886922,0.937791,0.951902,,1.54676,3.50945e-15,,1.34523,6.57113e-15,,1.21297,8.77336e-15,,-64.2101,-71.1663,-74.6207
0.1,3,,0.886922,0.937791,0.951902,,1.54676,-3.68724e-15,,1.34523,-6.66828e-15,,1.21297,-9.07868e-15,,-64.2101,-71.1663,-74.6207
0.1,3.1,,0.886922,0.937791,0.951902,,1.54676,-5.28643e-15,,1.34523,-8.71525e-15,,1.21297,-8.88178e-15,,-64.2101,-71.1663,-74.6207
0.1,3.2,,0.886922,0.937791,0.951902,,1.54676,-8.05658e-17,,1.34523,2.77556e-17,,1.21297,8.32667e-17,,-64.2101,-71.1663,-74.6207
0.1,3.3,,0.886922,0.937791,0.951902,,1.54676,5.30058e-15,,1.34523,8.61811e-15,,1.21297,8.79852e-15,,-64.2101,-71.1663,-74.6207
0.1,3.4,,0.886922,0.937791,0.951902,,1.54676,3.50945e-15,,1.34523,6.57113e-15,,1.21297,8.77336e-15,,-64.2101,-71.1663,-74.6207
0.1,3.5,,0.886922,0.937791,0.951902,,1.54676,-3.68724e-15,,1.34523,-6.66828e-15,,1.21297,-9.07868e-15,,-64.2101,-71.1663,-74.6207
0.1,3.6,,0.886922,0.937791,0.951902,,1.54676,-5.29435e-15,,1.34523,-8.71525e-15,,1.21297,-8.88178e-15,,-64.2101,-71.1663,-74.6207
0.1,3.7,,0.886922,0.937791,0.951902,,1.54676,-5.86161e-16,,1.34523,2.77556e-17,,1.21297,8.32667e-17,,-64.2101,-71.1663,-74.6207
0.1,3.8,,0.886922,0.937791,0.951902,,1.54676,2.94785e-15,,1.34523,6.39766e-15,,1.21297,7.49401e-15,,-64.2101,-71.1663,-74.6207
0.1,3.9,,0.886922,0.937791,0.951902,,1.54676,-1.149e-16,,1.34523,4.23273e-16,,1.21297,1.72345e-15,,-64.2101,-71.1663,-74.6207
0.1,4,,0.886922,0.937791,0.951902,,1.54676,-6.77155e-13,,1.34523,-2.2933e-15,,1.21297,-7.91641e-15,,-64.2101,-71.1663,-74.6207
0.1,4.1,,0.886922,0.937791,0.951902,,1.54676,-2.15161e-10,,1.34523,1.04396e-14,,1.21297,1.60765e-14,,-64.2101,-71.1663,-74.6207
0.1,4.2,,0.886922,0.937791,0.951902,,1.54676,-3.64359e-08,,1.34523,2.77556e-17,,1.21297,8.32667e-17,,-64.2101,-71.1663,-74.6207
0.1,4.3,,0.886922,0.937791,0.951902,,1.54676,-3.28422e-06,,1.34523,-1.27849e-14,,1.21297,-1.76586e-14,,-64.2101,-71.1663,-74.6207
0.1,4.4,,0.886918,0.937791,0.951902,,1.54675,-0.000157164,,1.34523,-4.09048e-15,,1.21297,5.33427e-16,,-64.2098,-71.1663,-74.6207
0.1,4.5,,0.886794,0.937791,0.951902,,1.54653,-0.00398061,,1.34523,-2.67147e-16,,1.21297,-3.78083e-15,,-64.2008,-71.1663,-74.6207
0.1,4.6,,0.884802,0.937791,0.951902,,1.54306,-0.0531754,,1.34523,3.50414e-16,,1.21297,3.64205e-15,,-64.0565,-71.1663,-74.6207
0.1,4.7,,0.867517,0.935482,0.950988,,1.51292,-0.373264,,1.34523,-0.130591,,1.21297,-0.0654658,,-62.8052,-70.9476,-74.5253
0.1,4.8,,0.786631,0.877545,0.903182,,1.37185,-1.37185,,1.26926,-1.26926,,1.16073,-1.16073,,-56.9493,-66.4248,-70.5947
0.1,4.9,,0.582459,0.645462,0.67176,,1.01579,-2.63218,,0.936131,-3.25595,,0.857837,-3.497,,-42.168,-48.7589,-52.5166
0.2,0,,0.642351,0.688134,0.707222,,0.276383,2.90283,,0.0977833,3.48208,,0.0511578,3.69353,,-56.9561,-65.5258,-68.6502
0.2,0.1,,0.867517,0.935482,0.950988,,0.373264,1.51292,,0.130591,1.34523,,0.0654658,1.21297,,-76.9211,-89.1982,-92.4999
0.2,0.2,,0.95672,0.996183,1.0003,,0.411646,0.411646,,0.130591,0.130591,,0.0654658,0.0654658,,-84.8306,-95.2405,-97.4754
0.2,0.3,,0.975782,0.998492,1.00121,,0.419847,0.0586432,,0.130591,1.33921e-15,,0.0654658,1.75207e-15,,-86.5208,-95.4592,-97.5708
