h/dp :,2
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.111422,0.0979412,0.0922839,15.5759,14.1002,13.5494

id,r,z,,PGauss,PCubic,PWedn,,dPGaussR,dPGaussZ,,dPCubicR,dPCubicZ,,dPWednR,dPWednZ,,drhodtGauss,drhodtCubic,drhodtWedn
48,4.85,0.05,,0.551777,0.610794,0.636156,,-1.02683,2.32425,,-1.02688,2.90016,,-0.959144,3.14585,,-139.094,-144.557,-147.927
49,4.95,0.05,,0.410942,0.448933,0.47116,,-1.73101,1.73101,,-2.13216,2.13216,,-2.32905,2.32905,,-132.052,-133.504,-134.228
50,0.05,0.15,,0.551777,0.610794,0.636156,,2.32425,1.02683,,2.90016,1.02688,,3.14585,0.959144,,-143.037,-145.569,-146.341
51,0.15,0.15,,0.740879,0.831219,0.859866,,1.37874,1.37874,,1.39443,1.39443,,1.30568,1.30568,,-152.492,-160.626,-164.742
52,0.25,0.15,,0.830204,0.904566,0.924047,,0.485486,1.54497,,0.262285,1.51167,,0.182548,1.39816,,-170.357,-183.269,-187.205
53,0.35,0.15,,0.855796,0.912514,0.928513,,0.101604,1.59259,,1.2837e-16,1.52087,,-1.52222e-16,1.4015,,-181.874,-191.138,-192.681
54,0.45,0.15,,0.860243,0.912514,0.928513,,0.0126591,1.60087,,-3.76435e-16,1.52087,,-3.54317e-16,1.4015,,-185.432,-191.138,-192.681
55,0.55,0.15,,0.860712,0.912514,0.928513,,0.000940735,1.60174,,-5.20417e-16,1.52087,,-2.59775e-16,1.4015,,-186.017,-191.138,-192.681
56,0.65,0.15,,0.860742,0.912514,0.928513,,4.17765e-05,1.6018,,1.40513e-16,1.52087,,-6.54858e-17,1.4015,,-186.071,-191.138,-192.681
57,0.75,0.15,,0.860743,0.912514,0.928513,,1.1107e-06,1.6018,,3.48679e-16,1.52087,,7.59809e-16,1.4015,,-186.074,-191.138,-192.681
58,0.85,0.15,,0.860743,0.912514,0.928513,,1.77091e-08,1.6018,,-8.76035e-16,1.52087,,-6.11056e-16,1.4015,,-186.074,-191.138,-192.681
59,0.95,0.15,,0.860743,0.912514,0.928513,,1.69581e-10,1.6018,,-3.20403e-15,1.52087,,-3.39138e-15,1.4015,,-186.074,-191.138,-192.681
60,1.05,0.15,,0.860743,0.912514,0.928513,,9.73557e-13,1.6018,,-3.63945e-15,1.52087,,-4.19977e-15,1.4015,,-186.074,-191.138,-192.681
61,1.15,0.15,,0.860743,0.912514,0.928513,,1.4289e-15,1.6018,,-2.25514e-15,1.52087,,-1.94116e-15,1.4015,,-186.074,-191.138,-192.681
62,1.25,0.15,,0.860743,0.912514,0.928513,,-8.60548e-16,1.6018,,-4.38885e-16,1.52087,,-2.96638e-16,1.4015,,-186.074,-191.138,-192.681
63,1.35,0.15,,0.860743,0.912514,0.928513,,8.72143e-17,1.6018,,2.30718e-16,1.52087,,2.34621e-16,1.4015,,-186.074,-191.138,-192.681
64,1.45,0.15,,0.860743,0.912514,0.928513,,5.92312e-17,1.6018,,4.51028e-17,1.52087,,3.48246e-16,1.4015,,-186.074,-191.138,-192.681
65,1.55,0.15,,0.860743,0.912514,0.928513,,-8.92167e-17,1.6018,,-3.81639e-17,1.52087,,-4.98733e-17,1.4015,,-186.074,-191.138,-192.681
66,1.65,0.15,,0.860743,0.912514,0.928513,,2.75593e-17,1.6018,,-1.73472e-16,1.52087,,-1.78243e-16,1.4015,,-186.074,-191.138,-192.681
67,1.75,0.15,,0.860743,0.912514,0.928513,,-1.10491e-16,1.6018,,-2.25514e-16,1.52087,,8.67362e-18,1.4015,,-186.074,-191.138,-192.681
68,1.85,0.15,,0.860743,0.912514,0.928513,,3.99052e-17,1.6018,,8.84709e-17,1.52087,,1.2013e-16,1.4015,,-186.074,-191.138,-192.681
69,1.95,0.15,,0.860743,0.912514,0.928513,,1.85876e-17,1.6018,,7.28584e-17,1.52087,,1.74773e-16,1.4015,,-186.074,-191.138,-192.681
70,2.05,0.15,,0.860743,0.912514,0.928513,,-1.94119e-16,1.6018,,4.16334e-17,1.52087,,3.64292e-17,1.4015,,-186.074,-191.138,-192.681
71,2.15,0.15,,0.860743,0.912514,0.928513,,-1.34827e-16,1.6018,,-8.67362e-18,1.52087,,-2.30285e-16,1.4015,,-186.074,-191.138,-192.681
72,2.25,0.15,,0.860743,0.912514,0.928513,,5.23266e-17,1.6018,,5.20417e-17,1.52087,,2.2031e-16,1.4015,,-186.074,-191.138,-192.681
73,2.35,0.15,,0.860743,0.912514,0.928513,,2.50444e-16,1.6018,,5.72459e-17,1.52087,,1.25767e-17,1.4015,,-186.074,-191.138,-192.681
74,2.45,0.15,,0.860743,0.912514,0.928513,,5.97866e-17,1.6018,,1.75207e-16,1.52087,,1.30972e-16,1.4015,,-186.074,-191.138,-192.681
75,2.55,0.15,,0.860743,0.912514,0.928513,,8.01775e-17,1.6018,,2.46331e-16,1.52087,,1.33574e-16,1.4015,,-186.074,-191.138,-192.681
76,2.65,0.15,,0.860743,0.912514,0.928513,,2.8504e-17,1.6018,,5.55112e-17,1.52087,,-1.56125e-17,1.4015,,-186.074,-191.138,-192.681
77,2.75,0.15,,0.860743,0.912514,0.928513,,3.59419e-17,1.6018,,-1.5786e-16,1.52087,,1.58294e-16,1.4015,,-186.074,-191.138,-192.681
78,2.85,0.15,,0.860743,0.912514,0.928513,,-2.88455e-17,1.6018,,3.66027e-16,1.52087,,4.11129e-16,1.4015,,-186.074,-191.138,-192.681
79,2.95,0.15,,0.860743,0.912514,0.928513,,3.64298e-17,1.6018,,3.50414e-16,1.52087,,3.6993e-16,1.4015,,-186.074,-191.138,-192.681
