dx/h :,0.833333
dy/h :,0.833333
L2normPGauss,L2normPCubic,L2normPWedn
0.0764272,0.0617069,0.0536339

x,y,,PGauss,PCubic,PWedn,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
0,3.3,,0.735081,0.784596,0.82313,,4.11099,6.52965e-15,,4.66878,6.7446e-15,,4.67776,4.56579e-15,,-49.9982,-49.5397,-48.1925
0,3.4,,0.735081,0.784596,0.82313,,4.11099,1.02225e-14,,4.66878,1.69344e-14,,4.67776,2.21221e-14,,-49.9982,-49.5397,-48.1925
0,3.5,,0.735081,0.784596,0.82313,,4.11099,-1.01283e-14,,4.66878,-1.70315e-14,,4.67776,-2.21463e-14,,-49.9982,-49.5397,-48.1925
0,3.6,,0.735081,0.784596,0.82313,,4.11099,-6.43542e-15,,4.66878,-6.39766e-15,,4.67776,-4.59008e-15,,-49.9982,-49.5397,-48.1925
0,3.7,,0.735081,0.784596,0.82313,,4.11099,-5.23936e-17,,4.66878,1.52656e-16,,4.67776,7.28584e-17,,-49.9982,-49.5397,-48.1925
0,3.8,,0.735081,0.784596,0.82313,,4.11099,5.99571e-15,,4.66878,6.7446e-15,,4.67776,4.56579e-15,,-49.9982,-49.5397,-48.1925
0,3.9,,0.735081,0.784596,0.82313,,4.11099,4.3214e-15,,4.66878,1.03424e-14,,4.67776,1.76291e-14,,-49.9982,-49.5397,-48.1925
0,4,,0.735081,0.784596,0.82313,,4.11099,-1.457e-14,,4.66878,-3.06179e-14,,4.67776,-4.23897e-14,,-49.9982,-49.5397,-48.1925
0,4.1,,0.735081,0.784596,0.82313,,4.11099,2.1098e-14,,4.66878,3.71057e-14,,4.67776,4.69694e-14,,-49.9982,-49.5397,-48.1925
0,4.2,,0.735081,0.784596,0.82313,,4.11099,-6.62714e-17,,4.66878,1.52656e-16,,4.67776,7.28584e-17,,-49.9982,-49.5397,-48.1925
0,4.3,,0.735081,0.784596,0.82313,,4.11099,-7.75613e-14,,4.66878,-3.70572e-14,,4.67776,-4.69416e-14,,-49.9982,-49.5397,-48.1925
0,4.4,,0.735081,0.784596,0.82313,,4.11099,-4.00024e-10,,4.66878,2.39288e-14,,4.67776,3.78725e-14,,-49.9982,-49.5397,-48.1925
0,4.5,,0.735081,0.784596,0.82313,,4.11099,-6.92838e-07,,4.66878,-2.36235e-14,,4.67776,-3.77268e-14,,-49.9982,-49.5397,-48.1925
0,4.6,,0.735075,0.784596,0.82313,,4.11096,-0.000287646,,4.66878,2.39288e-14,,4.67776,3.78725e-14,,-49.9979,-49.5397,-48.1925
0,4.7,,0.734408,0.784596,0.82313,,4.10723,-0.0280865,,4.66878,-2.36235e-14,,4.67776,-3.77268e-14,,-49.9525,-49.5397,-48.1925
0,4.8,,0.71292,0.78147,0.821797,,3.98705,-0.624987,,4.65231,-0.252238,,4.67348,-0.132929,,-48.4909,-49.3749,-48.1497
0,4.9,,0.540342,0.613602,0.665351,,3.0219,-3.0219,,3.67757,-3.67757,,3.73414,-3.73414,,-36.7526,-39.2981,-38.6706
