dx/h :,0.5
dy/h :,0.5
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.111422,0.0979412,0.0922839,15.5759,14.1002,13.5494

x,y,,PGauss,PCubic,PWedn,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
0.1,4.1,,0.860743,0.912514,0.928513,,1.6018,-1.77091e-08,,1.52087,6.65109e-15,,1.4015,1.1376e-14,,-60.9848,-66.7319,-70.0144
0.1,4.2,,0.860743,0.912514,0.928513,,1.6018,-1.1107e-06,,1.52087,-5.04903e-17,,1.4015,-1.62011e-16,,-60.9848,-66.7319,-70.0144
0.1,4.3,,0.860742,0.912514,0.928513,,1.6018,-4.17765e-05,,1.52087,-8.9236e-15,,1.4015,-1.37601e-14,,-60.9847,-66.7319,-70.0144
0.1,4.4,,0.860712,0.912514,0.928513,,1.60174,-0.000940735,,1.52087,-5.44201e-15,,1.4015,-1.28958e-15,,-60.9826,-66.7319,-70.0144
0.1,4.5,,0.860243,0.912514,0.928513,,1.60087,-0.0126591,,1.52087,3.25945e-16,,1.4015,-3.32745e-15,,-60.9494,-66.7319,-70.0144
0.1,4.6,,0.855796,0.912514,0.928513,,1.59259,-0.101604,,1.52087,-2.79474e-16,,1.4015,3.40111e-15,,-60.6343,-66.7319,-70.0144
0.1,4.7,,0.830204,0.904566,0.924047,,1.54497,-0.485486,,1.51167,-0.262285,,1.39816,-0.182548,,-58.821,-66.0749,-69.6278
0.1,4.8,,0.740879,0.831219,0.859866,,1.37874,-1.37874,,1.39443,-1.39443,,1.30568,-1.30568,,-52.4922,-60.6261,-64.7424
0.1,4.9,,0.551777,0.610794,0.636156,,1.02683,-2.32425,,1.02688,-2.90016,,0.959144,-3.14585,,-39.0941,-44.5565,-47.9269
0.2,0,,0.618303,0.664643,0.683295,,0.36157,2.60447,,0.19133,3.1657,,0.134577,3.38761,,-52.3993,-61.2674,-64.4182
0.2,0.1,,0.830204,0.904566,0.924047,,0.485486,1.54497,,0.262285,1.51167,,0.182548,1.39816,,-70.3573,-83.2691,-87.205
0.2,0.2,,0.930299,0.983626,0.992151,,0.544019,0.544019,,0.276082,0.276082,,0.187556,0.187556,,-78.84,-90.7866,-93.8399
0.2,0.3,,0.958976,0.991792,0.996678,,0.560789,0.113854,,0.276082,8.78975e-16,,0.187556,9.43875e-16,,-81.2704,-91.6276,-94.2933
0.2,0.4,,0.96396,0.991792,0.996678,,0.563703,0.0141854,,0.276082,-4.35252e-16,,0.187556,-2.32268e-16,,-81.6927,-91.6276,-94.2933
0.2,0.5,,0.964485,0.991792,0.996678,,0.56401,0.00105416,,0.276082,-6.53827e-16,,0.187556,-8.58069e-16,,-81.7372,-91.6276,-94.2933
0.2,0.6,,0.964519,0.991792,0.996678,,0.56403,4.68133e-05,,0.276082,1.28837e-15,,0.187556,1.29082e-15,,-81.74,-91.6276,-94.2933
0.2,0.7,,0.96452,0.991792,0.996678,,0.564031,1.24461e-06,,0.276082,2.26675e-15,,0.187556,1.91879e-15,,-81.7402,-91.6276,-94.2933
