h/dp :,1.5
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.0918565,0.0777916,0.071464,13.3866,12.0235,11.8048

id,r,z,,PGauss,PCubic,PWedn,,dPGaussR,dPGaussZ,,dPCubicR,dPCubicZ,,dPWednR,dPWednZ,,drhodtGauss,drhodtCubic,drhodtWedn
92,4.25,0.15,,0.929228,0.97497,0.985621,,-1.1023e-11,1.32501,,9.02056e-17,0.93667,,1.40946e-16,0.77502,,-192.923,-197.954,-197.841
93,4.35,0.15,,0.929228,0.97497,0.985621,,-7.5869e-09,1.32501,,9.02056e-17,0.93667,,1.40946e-16,0.77502,,-192.923,-197.954,-197.841
94,4.45,0.15,,0.929228,0.97497,0.985621,,-2.10529e-06,1.32501,,9.02056e-17,0.93667,,1.40946e-16,0.77502,,-192.923,-197.954,-197.841
95,4.55,0.15,,0.929223,0.97497,0.985621,,-0.000234261,1.325,,9.02056e-17,0.93667,,1.40946e-16,0.77502,,-192.911,-197.954,-197.841
96,4.65,0.15,,0.928938,0.97497,0.985621,,-0.0103745,1.3246,,9.02056e-17,0.93667,,1.40946e-16,0.77502,,-192.505,-197.954,-197.841
97,4.75,0.15,,0.922536,0.97497,0.985621,,-0.18108,1.31547,,9.02056e-17,0.93667,,1.40946e-16,0.77502,,-187.384,-197.954,-197.841
98,4.85,0.15,,0.863465,0.946576,0.966112,,-1.23124,1.23124,,-0.927321,0.927321,,-0.772962,0.772962,,-166.381,-179.408,-182.381
99,4.95,0.15,,0.639368,0.7083,0.73631,,-3.22321,0.911691,,-3.97039,0.692892,,-4.11907,0.591275,,-146.461,-148.977,-148.92
100,0.05,0.25,,0.683108,0.73002,0.751674,,3.44372,0.134084,,4.09695,9.50628e-16,,4.21198,1.3713e-15,,-149.64,-150.336,-149.87
101,0.15,0.25,,0.922536,0.97497,0.985621,,1.31547,0.18108,,0.93667,1.37564e-15,,0.77502,6.05852e-16,,-170.922,-181.939,-184.24
102,0.25,0.25,,0.985649,1.00344,1.00514,,0.193468,0.193468,,1.88911e-15,2.15279e-15,,1.36913e-15,1.93812e-15,,-193.362,-200.672,-199.74
103,0.35,0.25,,0.992488,1.00344,1.00514,,0.0110842,0.19481,,8.50015e-17,1.81972e-15,,1.34007e-16,1.04994e-15,,-198.834,-200.672,-199.74
104,0.45,0.25,,0.992793,1.00344,1.00514,,0.000250287,0.19487,,8.50015e-17,1.81972e-15,,1.34007e-16,1.04994e-15,,-199.267,-200.672,-199.74
105,0.55,0.25,,0.992798,1.00344,1.00514,,2.24931e-06,0.194871,,8.50015e-17,1.81972e-15,,1.34007e-16,1.04994e-15,,-199.28,-200.672,-199.74
106,0.65,0.25,,0.992798,1.00344,1.00514,,8.10594e-09,0.194871,,8.50015e-17,1.81972e-15,,1.34007e-16,1.04994e-15,,-199.28,-200.672,-199.74
