h/dp :,2
L2norm Pressure,KE,dr0,Nfluid
0,438.063,0.00447214,2100

t,1.09006
ID,x,y,,rho,drhodt,pressure,,u,v,velocity,,dudt,dvdt,vorticity,type
141,0.0592121,0.00532918,,999.936,-0.000105424,-125.231,,0.365489,0.00856307,0.365589,,-0.0222315,0.0177744,1.62275,fluid
142,0.058496,0.0106155,,999.934,-0.0030228,-129.815,,0.352644,0.00759062,0.352726,,-0.0102195,-0.0101733,3.06461,fluid
143,0.0573089,0.0158163,,999.934,0.00259504,-129.279,,0.329524,0.0194217,0.330096,,-0.0089935,0.00790889,3.7892,fluid
144,0.0556605,0.0208897,,999.934,0.00508071,-130.281,,0.305343,0.0203429,0.30602,,-0.00458771,0.00462985,3.8729,fluid
145,0.0535638,0.025795,,999.938,0.00611545,-122.289,,0.280403,0.0215526,0.28123,,-0.00241248,0.00645542,2.85424,fluid
146,0.051036,0.0304926,,999.944,0.00500201,-109.004,,0.257777,0.0304423,0.259568,,-0.00459496,0.00669179,0.503043,fluid
147,0.0480972,0.0349446,,999.955,0.00476572,-87.7261,,0.254468,0.0302544,0.25626,,-0.00766651,0.00235701,-2.33604,fluid
148,0.0447711,0.0391154,,999.966,0.00688518,-65.9225,,0.262344,0.0325774,0.264359,,-0.0112372,-3.8563e-05,-5.15955,fluid
149,0.0410846,0.0429712,,999.973,0.00573719,-52.1866,,0.277255,0.0366558,0.279668,,-0.0126146,-0.000112843,-7.64943,fluid
150,0.0370673,0.046481,,999.977,0.00470266,-44.6368,,0.299682,0.0392808,0.302246,,-0.0125077,0.00111396,-9.76948,fluid
151,0.0327516,0.0496165,,999.981,0.00322848,-37.5857,,0.328748,0.0407801,0.331267,,-0.0125906,0.00212481,-11.4738,fluid
152,0.0281721,0.0523526,,999.984,0.00206972,-31.3776,,0.362019,0.0433029,0.3646,,-0.0128777,0.00249482,-12.6056,fluid
153,0.0233659,0.0546672,,999.986,0.00103845,-26.6146,,0.39735,0.0470747,0.400129,,-0.0133801,0.00238091,-13.0174,fluid
