h/dp :,2
L2norm Pressure,KE,dr0,Nfluid
0,436.923,0.00447214,2100

t,0
ID,x,y,,rho,drhodt,pressure,,u,v,velocity,,dudt,dvdt,vorticity,type
82,0.0258126,0.0479679,,1000,-4710.07,0,,0.5,0,0.5,,-2.75854,0.873643,-8.75278,fluid
83,0.0214089,0.0500886,,1000,-3906.52,0,,0.5,0,0.5,,-2.52955,1.04623,-9.13975,fluid
84,0.0168328,0.0518061,,1000,-3071.51,0,,0.5,0,0.5,,-2.31288,1.1852,-9.45314,fluid
85,0.0121212,0.0531064,,1000,-2211.77,0,,0.5,0,0.5,,-2.10543,1.28607,-9.69041,fluid
86,0.00731197,0.0539792,,1000,-1334.23,0,,0.5,0,0.5,,-1.90351,1.3456,-9.84966,fluid
87,0.00244388,0.0544173,,1000,-445.939,0,,0.5,0,0.5,,-1.70305,1.36189,-9.92961,fluid
88,-0.00244388,0.0544173,,1000,445.939,0,,0.5,0,0.5,,-1.50597,1.47231,-9.92961,fluid
89,-0.00731197,0.0539792,,1000,1334.23,0,,0.5,0,0.5,,-1.34494,1.67331,-9.84966,fluid
90,-0.0121212,0.0531064,,1000,2211.77,0,,0.5,0,0.5,,-1.22062,1.82053,-9.69041,fluid
91,-0.0168328,0.0518061,,1000,3071.51,0,,0.5,0,0.5,,-1.12643,1.90923,-9.45314,fluid
92,-0.0214089,0.0500886,,1000,3906.52,0,,0.5,0,0.5,,-1.05506,1.93657,-9.13975,fluid
93,-0.0258126,0.0479679,,1000,4710.07,0,,0.5,0,0.5,,-0.99873,1.90167,-8.75278,fluid
94,-0.0300085,0.045461,,1000,5475.7,0,,0.5,0,0.5,,-0.949579,1.80565,-8.29534,fluid
95,-0.0339628,0.042588,,1000,6197.25,0,,0.5,0,0.5,,-0.899963,1.65159,-7.7711,fluid
96,-0.0376437,0.0393722,,1000,6868.9,0,,0.5,0,0.5,,-0.842787,1.44445,-7.1843,fluid
97,-0.0410214,0.0358393,,1000,7485.24,0,,0.5,0,0.5,,-0.787584,1.36933,-6.53966,fluid
98,-0.0440689,0.0320179,,1000,8041.32,0,,0.5,0,0.5,,-0.745588,1.25331,-5.84236,fluid
99,-0.0467615,0.0279387,,1000,8532.65,0,,0.5,0,0.5,,-0.711455,1.09702,-5.09802,fluid
100,-0.0490777,0.0236346,,1000,8955.28,0,,0.5,0,0.5,,-0.685331,0.963804,-4.31264,fluid
101,-0.0509987,0.0191401,,1000,9305.81,0,,0.5,0,0.5,,-0.669691,0.810448,-3.49253,fluid
102,-0.0525091,0.0144916,,1000,9581.42,0,,0.5,0,0.5,,-0.661692,0.631789,-2.6443,fluid
103,-0.0535967,0.00972638,,1000,9779.88,0,,0.5,0,0.5,,-0.658278,0.432823,-1.77479,fluid
104,-0.0542528,0.00488284,,1000,9899.6,0,,0.5,0,0.5,,-0.657168,0.219946,-0.89098,fluid
105,-0.0544721,6.67091e-18,,1000,9939.62,0,,0.5,0,0.5,,-0.656957,-5.71729e-12,-5.80991e-16,fluid
106,-0.0542528,-0.00488284,,1000,9899.6,0,,0.5,0,0.5,,-0.657168,-0.219946,0.89098,fluid
107,-0.0535967,-0.00972638,,1000,9779.88,0,,0.5,0,0.5,,-0.658278,-0.432823,1.77479,fluid
108,-0.0525091,-0.0144916,,1000,9581.42,0,,0.5,0,0.5,,-0.661692,-0.631789,2.6443,fluid
109,-0.0509987,-0.0191401,,1000,9305.81,0,,0.5,0,0.5,,-0.669691,-0.810448,3.49253,fluid
110,-0.0490777,-0.0236346,,1000,8955.28,0,,0.5,0,0.5,,-0.685331,-0.963804,4.31264,fluid
111,-0.0467615,-0.0279387,,1000,8532.65,0,,0.5,0,0.5,,-0.711455,-1.09702,5.09802,fluid
112,-0.0440689,-0.0320179,,1000,8041.32,0,,0.5,0,0.5,,-0.745588,-1.25331,5.84236,fluid
113,-0.0410214,-0.0358393,,1000,7485.24,0,,0.5,0,0.5,,-0.787584,-1.36933,6.53966,fluid
114,-0.0376437,-0.0393722,,1000,6868.9,0,,0.5,0,0.5,,-0.842787,-1.44445,7.1843,fluid
115,-0.0339628,-0.042588,,1000,6197.25,0,,0.5,0,0.5,,-0.899963,-1.65159,7.7711,fluid
116,-0.0300085,-0.045461,,1000,5475.7,0,,0.5,0,0.5,,-0.949579,-1.80565,8.29534,fluid
117,-0.0258126,-0.0479679,,1000,4710.07,0,,0.5,0,0.5,,-0.99873,-1.90167,8.75278,fluid
118,-0.0214089,-0.0500886,,1000,3906.52,0,,0.5,0,0.5,,-1.05506,-1.93657,9.13975,fluid
119,-0.0168328,-0.0518061,,1000,3071.51,0,,0.5,0,0.5,,-1.12643,-1.90923,9.45314,fluid
120,-0.0121212,-0.0531064,,1000,2211.77,0,,0.5,0,0.5,,-1.22062,-1.82053,9.69041,fluid
121,-0.00731197,-0.0539792,,1000,1334.23,0,,0.5,0,0.5,,-1.34494,-1.67331,9.84966,fluid
122,-0.00244388,-0.0544173,,1000,445.939,0,,0.5,0,0.5,,-1.50597,-1.47231,9.92961,fluid
123,0.00244388,-0.0544173,,1000,-445.939,0,,0.5,0,0.5,,-1.70305,-1.36189,9.92961,fluid
124,0.00731197,-0.0539792,,1000,-1334.23,0,,0.5,0,0.5,,-1.90351,-1.3456,9.84966,fluid
125,0.0121212,-0.0531064,,1000,-2211.77,0,,0.5,0,0.5,,-2.10543,-1.28607,9.69041,fluid
126,0.0168328,-0.0518061,,1000,-3071.51,0,,0.5,0,0.5,,-2.31288,-1.1852,9.45314,fluid
127,0.0214089,-0.0500886,,1000,-3906.52,0,,0.5,0,0.5,,-2.52955,-1.04623,9.13975,fluid
128,0.0258126,-0.0479679,,1000,-4710.07,0,,0.5,0,0.5,,-2.75854,-0.873643,8.75278,fluid
129,0.0300085,-0.045461,,1000,-5475.7,0,,0.5,0,0.5,,-3.00216,-0.672973,8.29534,fluid
130,0.0339628,-0.042588,,1000,-6197.25,0,,0.5,0,0.5,,-3.2618,-0.450672,7.7711,fluid
131,0.0376437,-0.0393722,,1000,-6868.9,0,,0.5,0,0.5,,-3.53781,-0.213887,7.1843,fluid
132,0.0410214,-0.0358393,,1000,-7485.24,0,,0.5,0,0.5,,-3.81363,-0.148678,6.53966,fluid
133,0.0440689,-0.0320179,,1000,-8041.32,0,,0.5,0,0.5,,-4.07092,-0.0818041,5.84236,fluid
134,0.0467615,-0.0279387,,1000,-8532.65,0,,0.5,0,0.5,,-4.30812,-0.0123006,5.09802,fluid
135,0.0490777,-0.0236346,,1000,-8955.28,0,,0.5,0,0.5,,-4.51855,-0.000744239,4.31264,fluid
136,0.0509987,-0.0191401,,1000,-9305.81,0,,0.5,0,0.5,,-4.69381,-1.29949e-11,3.49253,fluid
137,0.0525091,-0.0144916,,1000,-9581.42,0,,0.5,0,0.5,,-4.83161,2.47257e-12,2.6443,fluid
